App,Model,Likely Owner Department,Current Location,Should Move To,Priority,Issues
sales,DullGrade,Sales/Field Service,sales,sales,OK,None
sales,Lifecycle,Sales/Field Service,sales,sales,OK,None
maintenance,Asset,Maintenance,maintenance,maintenance,OK,None
maintenance,MaintenanceRequest,Maintenance,maintenance,maintenance,OK,None
maintenance,WorkOrder,Maintenance,maintenance,maintenance,OK,Cost fields acceptable
maintenance,PreventiveMaintenance,Maintenance,maintenance,maintenance,OK,None
maintenance,DowntimeEvent,Maintenance,maintenance,maintenance,OK,None
maintenance,PartsUsage,Maintenance,maintenance,maintenance,OK,None
analytics,Event,Analytics,analytics,analytics,OK,None
analytics,AutomationRule,Analytics,analytics,analytics,OK,None
analytics,InformationRequest,Analytics,analytics,analytics,OK,None
analytics,Tracking,Analytics,analytics,analytics,OK,None
evaluation,Session,Evaluation/Quality,evaluation,evaluation,OK,None
evaluation,Cell,Evaluation/Quality,evaluation,evaluation,OK,None
evaluation,Inspection,Evaluation/Quality,evaluation,evaluation,OK,None
evaluation,Instructions,Evaluation/Quality,evaluation,evaluation,OK,None
evaluation,Reference,Evaluation/Quality,evaluation,evaluation,OK,None
evaluation,Audit,Evaluation/Quality,evaluation,evaluation,OK,None
evaluation,Instances,Evaluation/Quality,evaluation,evaluation,OK,None
qrcodes,QCode,Operations/IT,qrcodes,qrcodes,OK,None
qrcodes,ScanLog,Operations/IT,qrcodes,qrcodes,OK,None
qrcodes,Movement,Operations/Inventory,qrcodes,qrcodes,OK,None
qrcodes,ProcessExecution,Operations/Production,qrcodes,qrcodes,OK,None
qrcodes,Maintenance,Operations/Maintenance,qrcodes,qrcodes,OK,None
knowledge,Article,Knowledge Management,knowledge,knowledge,OK,None
knowledge,Category,Knowledge Management,knowledge,knowledge,OK,None
knowledge,Document,Knowledge Management,knowledge,knowledge,OK,None
knowledge,FAQ,Knowledge Management,knowledge,knowledge,OK,None
knowledge,Instruction,Knowledge Management,knowledge,knowledge,OK,None
knowledge,Tag,Knowledge Management,knowledge,knowledge,OK,None
knowledge,Training,Knowledge Management,knowledge,knowledge,OK,None
